Publisher,Comic_Issue_Number,Title,Description,Condition,Grade_Condition,Price_Paid,Price_Tag
DC,268,Batman,Batman (murder masquerade),"Spine has some wear, bottom right corner has a crease, good condition",B+,77.41,100.64
DC,298,Batman,Batman (case of the crimson coffin),Near Mint,A,40.51,52.66
DC,253,Batman,Batman (The shadow),"spine is corn and creased, top left corner is worn and torn, top rigth corner is creased, bottom rigth corner is creased, top part of cover is worn, dc logo has some stains and wearing",C,48.89,63.55
DC,286,Batman,Batman (Joker),Near mint,A,45.20,58.75
DC,195,Batman,Batman (the spark-spangled see-though man),"spine heavly worn, crease along spine, top right corner worn and creased, bottom left corner above it has chunk of cover missing, bottom left corner creased and worn, bottom worn, top cover discoloration, spine really bad near top",B,35.49,46.13
DC,272,Batman,Batman (the underworld olympics '76),"Spine is great, near Mint",B+,98.54,128.11
DC,248,Batman,Batman (ghost plaine),"Spine is worse for wear, torn around spine where staples are, corners are worn slightly, great condition",B+,65.02,84.52
DC,252,Batman,Batman (batman unearths the grave of the spook only to have the coffin become his own),"spine is great, some wear on corners, top rigth corner some creasing, bottom left corner dented and worn, great condition",B+,51.47,66.90
DC,281,Batman,Batman (secret police),Near Mint,A,43.39,56.40
DC,300,Batman,Batman (Double size),"Bottom left corner worn and torn, top right corner dented and creased, top left corner creased, good condition",B+,30.73,39.95
DC,257,Batman,Batman (100 page),"spine is okay, some discoloration on bottom of cover, very good condition",B,77.62,100.91
DC,262,Batman,Batman (ECh . Scarecrow),"spine has some wear, bottom left corner worn, bottom right corner creased, top right corner creased, bottom cover slight wear, good condition",B+,44.24,57.52
DC,278,Batman,Batman (stop me before I kill),"Spine is great, bottom left corner worn, bottom right corner worn, black slash over number, good condition",B+,21.01,27.31
DC,230,Batman,Batman (black panthers),"""19"" written in the ""n"", spine is worn, bottom left corner dented, top of cover is worn a bit, good condition",B+,93.34,121.34
DC,245,Batman,Batman (Art: Neal Adams),"Spine is good, bottom right corner is worn, bottom right of cover has some tearing, top left of cover has some creasing, great condition",B+,28.75,37.38
DC,295,Batman,Batman (Magic Show becomes a Tragic Show),"Weird crease near bottom right corner, near mint",A,98.70,128.31
DC,267,Batman,Batman (you are cordially invited to attend the execution of the Batman),"spine is okay some wear around staples, creat corners, near mint",B,33.55,43.61
DC,306,Batman,Batman (black spider),"spine in great condition, top right corner creased, bottom right corner dented, good condition",B+,33.52,43.57
DC,250,Batman,Batman (the deadly numbers game),"Spine has wear on staples, spine is ripped around staples and top of left corner, bottom right corner is worn, bottom left corner is worn and creased, top left corner is creased and worn",B,11.77,15.30
DC,297,Batman,Batman (mad hatter),"spine is worn a bit, near mint",A,17.43,22.65
DC,265,Batman,Batman (batmans greatest failure),"spine is worn a bit in middle, top right corner creased, bottom of cover slightly worn, bottom right corner dented, good condition",B+,72.18,93.84
DC,282,Batman,Batman (assisins),"right corners both creased, top left corners torn a bit, spine is good, good condition",B+,44.08,57.30
Charlton,60,Thunderbolt,Thunderbolt (Prankster appearance),"spine istorn around staple, top left corner is dented and creased, bottom right corner creased, bottom cover is creased or imprinted, bottom left corner is dented and worn",B,3.44,4.47
Dell,28,Ghost Stories,Ghost Stories (man's greed against an ancient aztec curse),"spine is worn and creased, bottom corner is creased, top corner is ripped off, in side top right corner of comic is ripped, very bad condition",C,17.30,22.49
Gold Key,182,Tarzan of the Apes,Tarzan of the Apes (primitive justic pitted against cruel invaders),"cover under title has come wear and has been removed, corners dented and creased, spine is worn around staples has been cutting the cover, stains on cover, bad condition",B,97.87,127.24
DC,1,Teen Titans,Teen Titans (1st isuue ),"Spine is heavly worn, bottom right corner is creased, bottom is worn, cover has some staining, heavly worn , fair condition",B-,31.01,40.31
Gold Key,18,The Lone Ranger,The Lone Ranger (Treachery lurks along the wide missouri),"spine is okay, slight wear around top corners and bottom corners, good condition",B,92.35,120.05
Gold Key,22,The Lone Ranger,"The Lone Ranger (the prophet-driven by a vision of conquest, he strikes)","slight wear on spine, bottom right corner creased and dented, top corner dented, some wear on staples, fair condition",B-,99.31,129.11
Charlton,2,Hercules,Hercules (snakes),"Some wear around r in title,some discoloration great condition",B+,62.03,80.64
Marvel,38,Master of Kung Fu,Master of Kung Fu (Claws of the cat),"top right corner creased, Near Mint",A,93.31,121.30
Marvel,35,Master of Kung Fu,Master of Kung Fu (death-hand),"Spine has slight wear, top left corner worn, bottom left corner worn, bottom right corner dented, good condition",B+,50.99,66.29
Marvel,34,Master of Kung Fu,Master of Kung Fu (captive in a madman's crown),"tear around top staple, corners are slightly worn",C,83.41,108.44
Marvel,32,Master of Kung Fu,Master of Kung Fu (assault on an angry sea),Near Mint,A,26.10,33.94
Marvel,18,Master of Kung Fu,Master of Kung Fu (Father vs. Son),"wear near middle of spine, bottom right corner creased, good condition",B+,84.26,109.54
Marvel,17,Master of Kung Fu,"Master of Kung Fu (blackjack,1st issue on his own)","spine has some wear, wear around staples, corners dented, good condition",B+,94.31,122.60
Marvel,49,Master of Kung Fu,Master of Kung Fu (shaka kharn),"great spine, bottom left corner worn, top left corner worn, top right corner creased, bottom right corner has weird creasing, good condition",B+,54.09,70.32
Marvel,43,Master of Kung Fu,Master of Kung Fu (shock-wave),"spine has some wear near middle, top left corner worn, great condition",B+,74.61,96.99
Marvel,2,Master of Kung Fu Giant-Size,"Master of Kung Fu Giant-Size (death-trap for shang-chi,1974)","Spine has heavy wear in the middle, dent in bottom left corner, bottom right corner is creased and worn, right middle side is slightly creased and worn, okay condition",B,85.12,110.66
Marvel,69,Master of Kung Fu,Master of Kung Fu (ball and chain),"Top left corner worn, good conditon",B+,67.26,87.44
Marvel,19,Master of Kung Fu,Master of Kung Fu (Martail arts vs. Man-thing),"worn around top staple, top left corner is worn, good condition",B+,82.03,106.64
Marvel,12,Marvel Presents,Marvel Presents (guardians of the galaxy),Near Mint,A,64.76,84.19
Marvel,7,Marvel Presents,Marvel Presents (guardians of the galaxy),"bottom left corner worn, top left corner worn, spine is in okay condition, good condition",B,83.96,109.15
Marvel,10,Marvel Presents,Marvel Presents (guardians of the galaxy),Near Mint,A,59.12,76.85
Marvel,4,Marvel Presents,Marvel Presents (guardians of the galaxy),"top left corner worn and has a crease, top part of cover near right corner creased, top right corner creased, bottom right corner creased, bottom left corner worn, spine is okay, great condition",B,76.53,99.49
Marvel,8,Marvel Presents,"Marvel Presents (guardians of the galaxy, Reprint of Silver Surfer issue 2)","spine is worn, corners are great, good condition",B+,8.33,10.83
Marvel,6,Marvel Presents,Marvel Presents (guardians of the galaxy),"top left corner torn, bottom left corner torn, great condition",B+,44.81,58.26
Marvel,11,Marvel Presents,Marvel Presents (guardians of the galaxy),"spine has crease in middle, great condition",B+,17.06,22.18
Marvel,5,Marvel Presents,Marvel Presents (guardians of the galaxy),"Spine worn and creased, great condition",B+,85.93,111.71
Marvel,3,Marvel Presents,Marvel Presents (Guardians of the Galaxy stories start),"Spine is good, bottom left corner is worn, Great condition",B+,37.30,48.49
Marvel,20,Master of Kung Fu,Master of Kung Fu (death-dealing smurai),"some wear around top staple, great condition",B+,22.29,28.98
Marvel,115,Rawhide Kid,Rawhide Kid (the last gunfight),"spine is really worn twords top, bottom right corner is creased, right side of cover worn, fair condition",B-,77.57,100.84
Marvel,177,Strange Tales,Strange Tales (the golem),"Spine is worn, top of cover is worn, bottom of cover is worn, top right corner is creased, okay conditoin",B,11.56,15.03
Marvel,20,Creatures on the Loose,Creatures on the Loose (the monster and the maiden),"spine is creased in center, bottom left corner is worn, bottom",B,24.29,31.58
Marvel,4,"John Carter, Warlord of Mars","John Carter, Warlord of Mars (Raiding Party)","spine is wonr, corners great, good condition",B+,33.61,43.69
DC,446,Adventure Comics,"Adventure Comics (Aquaman, return of aqualad)","bottom rigth corner is creased, great condition",B+,79.09,102.82
Marvel,5,"John Carter, Warlord of Mars","John Carter, Warlord of Mars (Raiding Party)",Near Mint,A,71.71,93.23
Marvel,26,Master of Kung Fu,Master of Kung Fu (the daughter of fu manchu),"Spine is worn, corners good, awesome condition",B+,15.47,20.12
Marvel,25,Master of Kung Fu,Master of Kung Fu (fists of fury-rites of death),"some wear around staples on spine, great condition",B+,88.80,115.43
Marvel,5,Omega The Unknown,Omega The Unknown (power be my destiny),Near Mint,A,65.32,84.91
Marvel,5,The Tomb of Dracula,The Tomb of Dracula (to slay a vampire),"spine is worn, bottom left corner is worn, bottom part of cover is worn and torn, bottom right corner is creased, top right corner is creased and dented, right side of cover is worned and creased, top left corner is dented and worn, fair condition",B-,91.74,119.26
Marvel,183,Strange Tales,Strange Tales (dr. strange),"Spine is worn, bottom left corner is worn, good condition",B+,10.05,13.06
Marvel,107,Two-Gun Kid,Two-Gun Kid (dakota thomson strikes),"Spine is really worn, above price has come tearing, top right corner has a lot of wear, right cover has heavy wear, bottom right corner creased, bottom part of cover is worn, fair condition",B-,40.19,52.25
Marvel,5,Frankenstein,Frankenstein (the monster walks among us),"Spine is heavily worn, creases along right side of cover and worn, top has rip removing part of g , covers are creased and dented, bad condition",C,97.66,126.96
Marvel,118,Rawhide Kid,Rawhide Kid (guns of the wild north),"Spine is worn, good condition other wise",B+,11.92,15.50
Marvel,2,Omega The Unknown,"Omega The Unknown (hulk, slaughter on ninth avenue)","spine is okay, top right corner creased, great condition",B,90.60,117.79
Marvel,3,Omega The Unknown,Omega The Unknown (burn while you learn),"Bottom right corner creased, top right corner creased, good condition",B+,3.72,4.84
Marvel,9,Omega The Unknown,"Omega The Unknown (riot at the rockefeller center,1st full app. new Foolkiller)","Bottom rigth corner is creased, bottom part of cover is worn and creased, bottom left corner is dented, okay condition",B,6.24,8.12
Marvel,143,Kid Colt Outlaw,Kid Colt Outlaw (a bet with death),"Top left corner is torn and creased, top part of cover heavy wearing, spine is worn, bottom left corner is dented and worn, bad condition",C,8.75,11.37
Marvel,109,Rawhide Kid,Rawhide Kid (the Vengeance),"Top left corner is dented and worn, top part of cover is creased and worn, top right corner is creased, bottom right corner is dented, bottom left corner is dented, spine is heavly worn, weird crease in right middle of cover, fair condition",B-,84.07,109.30
Marvel,7,"Skull, The Slayer","Skull, The Slayer (dungeon of blood)","top left corner is dented and creased, great condition",B+,55.61,72.29
Marvel,10,Omega The Unknown,"Omega The Unknown (the last gamble, last issue)","bottom left corner is dented, great condition",B+,43.44,56.47
Marvel,2,The Eternals,The Eternals (the celestials),Near Mint,A,10.44,13.57
Marvel,18,Ka-zar (volume 2),Ka-zar (volume 2) (arena of death),near Mint,A,35.57,46.24
Marvel,19,Ka-zar (volume 2),Ka-zar (volume 2) (this savage unchained),"top rigth corner is creased, bottom right corner is crease, spine is good, good condition",B+,44.66,58.06
Marvel,21,Creatures on the Loose,Creatures on the Loose (two worlds to win),"top rigth corner is crease, spine is worn, good condition",B+,7.36,9.56
Marvel,19,Creatures on the Loose,Creatures on the Loose (the red barabarian of mars),"Spine is heavly worn, some tearing along spine, corners are dented, some coloring on title, right side of cover is creased and worn, fair condition",B-,42.02,54.62
Marvel,42,Master of Kung Fu,Master of Kung Fu (clock of shattered time),Near Mint,A,20.97,27.26
Marvel,36,Master of Kung Fu,Master of Kung Fu (the night of the ninjas),"Slight wear on top left corner, top rigth corner some denting, great condtion",B+,10.46,13.60
Marvel,46,Master of Kung Fu,Master of Kung Fu (sumo),"top right corner is dented, great condition",B+,23.44,30.48
Marvel,45,Master of Kung Fu,Master of Kung Fu (death seed),near mint,A,97.47,126.72
Marvel,44,Master of Kung Fu,Master of Kung Fu (death-day of the golden dagger),"spine is worn, top left corner is worn, top right corner is creased, bottom corners are dented and worn, good condition",B+,35.04,45.55
Marvel,39,Master of Kung Fu,Master of Kung Fu (fight without pity),"top right corner is dented, bottom left corner is torn, spine is slightly worn , good condition",B+,73.17,95.12
Marvel,3,The Eternals,The Eternals (devil in the sky),"bottom rigth corner is worn a bit, good condition",B+,74.38,96.69
Marvel,18,Frankenstein,Frankenstein (children of the damned),"spine slightly worn, top left corner dented and worn, bottom left corner dented and worn, good condition",B+,51.19,66.55
Megaton,,Explosion,Explosion (free),"Weird paper , stains around top corners,",C,42.87,55.73
Marvel,4,The Eternals,The Eternals (night of the demons),"bottom left corner worn, spine is okay, good condition",B,99.34,129.14
Marvel,8,Worlds Unknown,Worlds Unknown (the golden voyage of sinbad),"spine is worn, bottom right corner is creased, top right corner is creased and worn, top left corner is dented, bottom part of cover is worn, okay condition",B,90.11,117.14
Marvel,9,Ka-zar (volume 2),Ka-zar (volume 2) (the man who hunted dinosaur),"bottom right corner is creased, top right corner worn, spine is good, good condition",B+,51.63,67.12
Marvel,4,"Skull, The Slayer","Skull, The Slayer (peril of the pyramids)","Spine is worn, bottom left corner is worn and dented, okay condition",B,11.45,14.88
Marvel,8,"Skull, The Slayer","Skull, The Slayer (this god must die, last issue)",Near Mint,A,17.39,22.61
Marvel,17,Tarzan,Tarzan (enterance to the earth's core),Near Mint,A,77.29,100.48
Marvel,2,"Skull, The Slayer","Skull, The Slayer (battle in the dawn of time)","Spine is worn, good condition other wise",B+,15.81,20.55
Marvel,5,"Skull, The Slayer","Skull, The Slayer (slitherogue)","Bottom left corner is torn off, spine is worn, top left corner is creased, top rigth corner is dented, okay condition",B,60.40,78.52
Marvel,3,"John Carter, Warlord of Mars","John Carter, Warlord of Mars (requiem for a warlord)","spine is great, bottom right corner is creased, good condition",B+,17.36,22.56
Marvel,2,"John Carter, Warlord of Mars","John Carter, Warlord of Mars (White apes of mars)","spine has some wear, bottom left corner is worn , top right corner is creased, some stain on from some black stuff on it, okay condition",B,26.32,34.22
Marvel,7,"John Carter, Warlord of Mars","John Carter, Warlord of Mars (showdown)","spine is worn, bottom left corner is wonr, bottom right corner is creased, top left corner is worn, okay condition",B,32.82,42.67
Marvel,3,"Skull, The Slayer","Skull, The Slayer (trapped in the tower of time)","spine is worn, bottom left corner is worn, bottom right corner is creased, top right corner is dented, top left corner is creased, okay condition",B,59.57,77.44
Marvel,18,"Nick Fury, Agent of Shield","Nick Fury, Agent of Shield (a trio of terrorists,Double size)","bottom part of spine is torn, spine is really bad, top left corner is dented, top part of cover is worn and creased, top right corner is creased, bottom right corner is creased and worn, bottom left corner is dented and in bad condition, fair condition",C,37.44,48.67
Marvel,166,Fantastic Four,Fantastic Four (Hulk vs. The Thing),"heavly worn, spine is bad condition, top left corner has some discoloration and stains also dented and worn, top right corner is creased, bottom right of cover has stain and some heavy wear, bottom right part of cover is worn down completely, bottom right corner is creased, bottom left corner is worn, okay to fair condition",C,96.76,125.79
Marvel,191,The Incredible Hulk (volume 2),The Incredible Hulk (volume 2) (triumph of the toad),"spine is okay, top left corner is worn, top right corner is dented, bottom left corner is creased, great condition",B,77.81,101.15
Marvel,195,The Incredible Hulk (volume 2),The Incredible Hulk (volume 2) (warfare in wonderland),"weird wear on title of story, bottom rigth corner is creased, spine is good, some discoloration on top part of spine, top right corner is creased, okay condition",B+,40.82,53.07
Marvel,166,Strange Tales,Strange Tales (doctor strange and nick fury agent of shield),"spine is heavly worn, heavy wear around staples, top left corner is worn, top right corner is creased, bottom right corner is creased, fair condition",B-,65.54,85.21
Marvel,1,Master of Kung Fu Giant-Size,"Master of Kung Fu Giant-Size (1974/Art by Gulacy, Russell)","spine off center, spine is sligtly worn, some wear around corners and around the right side of cover, , okay condition",B,19.62,25.51
Marvel,11,The Champions,"The Champions (Black Goliath,Art: John Byrne)","Spine is heavly worn, bottom left corner is worn, creases along bottom cover, strong crease next to spine, bottom right corner is dented, top right corner is creased, top left corner is dented, fair condition",B-,21.91,28.48
Marvel,189,The Incredible Hulk (volume 2),The Incredible Hulk (volume 2) (hulk vs the mole man),"spine is okay, top left corner is dented and worn, great condition",B,85.26,110.84
Marvel,190,The Incredible Hulk (volume 2),The Incredible Hulk (volume 2) (First Glorian),"Spine is worn a bit, bottom left corner is worn and dented, top right corner is creased, good condition",B+,27.94,36.32
Marvel,232,The Incredible Hulk (volume 2),The Incredible Hulk (volume 2) (Crossover with Captain America 230),Near Mint,A,94.74,123.17
Marvel,138,The Incredible Hulk (volume 2),The Incredible Hulk (volume 2) (sandman),"spine is great, bottom left corner is torn and worn, bottom right corner is creased, right side of cover is worn and creased, top right corner is dented, top left corner is dented and creased, great condition",B+,80.72,104.94
Marvel,6,"Skull, The Slayer",Skull The Slayer (Price Variant (30 Cents),"Top right corner is dented, great condition",B+,9.84,12.79
Marvel,10,Ka-zar (volume 2),Ka-zar (volume 2) (Dark city of death),Near Mint,A,70.06,91.08
Marvel,14,Ka-zar (volume 2),Ka-zar (volume 2) (klaw),"bottom left corner is worn, worn around staples, top right corner is creased, bottom right corner is creased, good condition",B+,8.03,10.44
Marvel,6,Ka-zar (volume 2),Ka-zar (volume 2) (best-god of the lost river),"spine is worn, top left corner is worn, top of cover is worn and removed some of the coloring at top, stain near bottom right corner, good condition",B+,43.43,56.46
Marvel,7,Ka-zar (volume 2),Ka-zar (volume 2) (revenge of the river-gods),Near Mint,A,6.25,8.12
Marvel,8,Ka-zar (volume 2),Ka-zar (volume 2) (the volcano of molten deathe),"some wear on spine, bottom right corner dented, great condition",B+,39.28,51.06
Marvel,1,Conan The Barbarian Giant-Sized,Conan The Barbarian Giant-Sized (Reprints: Conan No. 3),"Spine is worn, bottom left corner is torn, top left corner is torn, top right side of cover near corner is torn, top right corner is worn, bottom let corner is dented, fair condition",B-,65.56,85.23
Marvel,5,War Is Hell,War Is Hell (Trapped Platoon),"Spine is worn, heavily worn in center of spine, top left corner is torn and worn, top right corner is dented, creases all over cover, bottom left of cover is torn, bottom left corner is creased, bottom right corver is dented and worn, Fair condition",B-,65.32,84.91
Marvel,20,Tarzan,Tarzan (blood bond),"spine is great, bottom right corner is dented, great condition",B+,55.73,72.45
Marvel,3,Tarzan,Tarzan (the altar of the flaming god),"spine has some wear, great corners, good condition",B+,86.29,112.18
Marvel,18,Tarzan,Tarzan (corsairs of the earth's core),"spine is good, bottom left corner is worn, bottom rigth corner is dented, top right corner is stained, good condition",B+,19.96,25.95
Marvel,15,Tarzan,Tarzan (sword of the slayer),"spine has weird wear right next to the spine, great condition",B+,14.22,18.49
Marvel,60,Rawhide Kid,Rawhide Kid (massacre at medicine bend),"cover has seperated from staples, creases and tears everywhere, very poor condition",C,65.50,85.15
Marvel,16,Tarzan,Tarzan (death rides the jungle winds),Near Mint,A,45.47,59.12
Marvel,4,Tarzan,Tarzan (tarzan kills),"spine is slightly worn, great condition",B+,95.20,123.76
Marvel,2,Tarzan,Tarzan (ape battles ape-man to the death),Near Mint,A,17.80,23.14
Marvel,6,Tarzan,Tarzan (rage of tantor),Near Mint,A,59.26,77.03
Marvel,23,"Kull, The Destroyer","Kull, The Destroyer (day of the demon-shade)","bottom left corner is worn, bottom right corner is creased, top right corner is dented and discolored, top left corner is dented, good condition",B+,25.52,33.18
Marvel,182,Strange Tales,"Strange Tales (dr. strange,25 Cent Edition)","bottom rigth corner is creased, bottom left corner is worn, spine is slightly worn, good condition",B+,74.81,97.25
Marvel,123,Strange Tales,Strange Tales (First appearance of Beetle),"Spine is worn down, corners all worn and dented and torn, really bad condition",C,59.77,77.71
Marvel,120,Two-Gun Kid,Two-Gun Kid (origin of the two-gun kid),"total discoloring of cover, its suppost to be full red colors and its yellow, bottom left corner is creased and worn, fair condition",B-,74.65,97.05
Marvel,117,Rawhide Kid,Rawhide Kid (the masked maverick),Near Mint,A,47.92,62.29
Marvel,9,Red Wolf,"Red Wolf (a legend reborn to die again, Last issue)","spine is worn, top left corner is worn and dented, top right corner is dented, bottom left corner is creased and worn, bottom left corner is dented and worn, far condition",B,51.60,67.08
Marvel,10,Howard The Duck,Howard the Duck (doom in a dark dimension),"bottom right corner is creased, spine is worn, top left corner is worn, okay condition",B,82.41,107.13
Marvel,2,The Human Torch,The Human Torch (goes wild),"bottom left corner is worn and dented, spine is slightly worn near top, great condition",B+,46.53,60.49
Marvel,117,Two-Gun Kid,Two-Gun Kid (three rode together),"bottom left corner is creased, great condition",B+,85.22,110.79
Marvel,3,Howard The Duck,Howard the Duck (master of quack fu),"bottom right corner is creased, bottom left corner is worn, bottom left corner is dented, great condition",B+,58.39,75.90
Marvel,144,Kid Colt Outlaw,Kid Colt Outlaw (ill kill kid colt on sight),"spine is worn, bottom left corner is torn and worn, bottom right corner is creased and dented, top left corner is worn, good condition",B+,29.28,38.06
Marvel,4,Omega The Unknown,Omega The Unknown (night of a thousand claws),"bottom right corner is creased, bottom left corner is worn, spine is worn, top left corner is dented and worn, okay condition",B,52.51,68.27
Marvel,42,Sub-Mariner,Sub-Mariner (a house named death),"spine is heavly worn, just very fair condtion, some one wrote on the title, bad condition",B-,44.23,57.50
Marvel,1,The Eternals,The Eternals (first issue),Near Mint,A,68.49,89.04
Marvel,104,Two-Gun Kid,Two-Gun Kid (gunfight at gila rock),"spine is worn, top left corner is creased, other corners are good, nice condition",B+,57.75,75.08
Marvel,123,Journey Into Mystery,Journey Into Mystery (while a universe trembles),"spine is slightly worn, top left corner is worn, top right corner is dented, bottom right corner is worn, bottom of cover has a scratch, bottom left corner is worn, okay condition",B,71.30,92.70
Marvel,15,Warlock,"Warlock (unleased at last, last issue)","bottom right corner is creased, bottom left corner is worn, great condition",B+,10.86,14.12
Marvel,2,Marvel Premiere,Marvel Premiere (warlock),"Bottom left corner has some staining of red and dented, spine is great, bottom left is worn, great condition",B+,89.13,115.87
Marvel,3,Warlock,Warlock (apollo),"Spine is worn, some wearing/fraying on top of cover, bottom part of cover is frayed too, bottom right corner is torn, crease though bottom center cover, okay condition",B,11.06,14.37
Marvel,11,Warlock,Warlock (strange death of adam warlock),"bottom left corner is worn, bottom right corner is dented, spine is worn very slightly, good condition",B+,10.17,13.22
Marvel,80,Fantastic Four,Fantastic Four (wyatt wing-foot),"Spine is great, some creasing bottom right corner near, bottom right corner is dented, bottom left corner is worn, great condition",B+,44.63,58.03
Marvel,1,Marvel Spotlight,Marvel Spotlight (red wolf),"spine is good, bottom left corner is worn, bottom right corner is dented, good condition",B+,44.26,57.54
Marvel,2,Captain Marvel,Captain Marvel (the spaceman and the super skrull),"Spine is worn, bottom elft corner is worn, great condition",B+,64.84,84.29
Marvel,188,The Incredible Hulk (volume 2),The Incredible Hulk (volume 2) (the gremlin),"Spine is worn, top left corner is worn, bottom right corner is creased, bottom left corner is dented and creased, okay condition",B,40.25,52.33
Marvel,29,Marvel's Greatest Comics,Marvel's Greatest Comics (fantastic four meets the hulk),"spine is good, top left corner is worn, bottom right corner is worn, bottom left corner is creased and worn, fair condition",B+,68.32,88.81
DC,22,Mister Miracle,Mister Miracle (midnight of the gods),"weird stain over title, good condition",B+,18.48,24.03
DC,264,Superman,"Superman (secret of the phantom quarterback,1st Steve Lombard)","spine is worn and torn around top center, bottom right corner is creased, bottom left corner is worn, okay condition",B,98.72,128.33
DC,19,Mister Miracle,"Mister Miracle (return,Series resumes 1977)","spine is worn, okay condition",B,33.69,43.79
DC,10,Jonah Hex,Jonah Hex (kill us all),Near Mint,A,88.11,114.54
DC,22,"Kamandi, the Last Boy on Earth","Kamandi, the Last Boy on Earth (red baron)","bottom right corner is creased, bottom right of cover is worn, great condition",B+,41.24,53.62
DC,23,"Kamandi, the Last Boy on Earth","Kamandi, the Last Boy on Earth (killer whale)","top right corner is creased, bottom left corner is worn, okay condition",B,20.81,27.06
DC,24,"Kamandi, the Last Boy on Earth","Kamandi, the Last Boy on Earth (wolfman)",Near Mint,A,80.74,104.96
DC,7,Men of War,Men of War (gravediggers),Near Mint,A,45.80,59.53
DC,12,Hercules Unbound,"Hercules Unbound (hercules last battle, last issue)","spine slightly worn, bottom right corner is creased, bottom left corner is creased, good condition",B+,62.91,81.78
DC,27,"Kamandi, the Last Boy on Earth","Kamandi, the Last Boy on Earth (replay of gunga din)","spine has some wearing, great condition",B+,92.73,120.54
DC,25,"Kamandi, the Last Boy on Earth","Kamandi, the Last Boy on Earth (sharks)","bottom right corner is worn, top left corner is worn, good condition",B+,43.06,55.98
DC,52,Teen Titans,Teen Titans (destroy your city),"bottom right corner is dented, great condition",B+,95.63,124.32
DC,451,Adventure Comics,Adventure Comics (Aquaman),"bottom right corner is worn, great condition",B+,43.14,56.08
DC,3,Firestorm the Nuclear Man,"Firestorm the Nuclear Man (frozen dead,first appearance killer frost)",Near Mint,A,89.61,116.49
DC,2,Firestorm the Nuclear Man,Firestorm the Nuclear Man (superman),Near Mint,A,80.48,104.63
DC,1,Firestorm the Nuclear Man,Firestorm the Nuclear Man (first issue),"bottom right corner is detned and worn, spine is slightly worn, great condition",B+,22.43,29.16
DC,5,Firestorm the Nuclear Man,Firestorm the Nuclear Man (last issue),Near Mint,A,48.82,63.46
DC,59,Aquaman,Aquaman (aquaman stands alone),"bottom right corner is creased, bottom left corner is dented, good condition",B+,34.62,45.01
DC,10,Men of War,"Men of war (gravedigger,44 Pages)","bottom left corner is dented, great condition",B+,41.92,54.49
DC,60,Aquaman,Aquaman (end of meras quest),Near Mint,A,51.10,66.43
DC,445,Adventure Comics,Adventure Comics (aquaman),"some wear around top staple, great condition",B+,69.14,89.88
DC,443,Adventure Comics,Adventure Comics (aquaman),"top staple has some wear, some creasoing along bottom and right of cover, dented bottom right corner, good condition",B+,18.61,24.19
DC,442,Adventure Comics,Adventure Comics (aquaman),"some coloring on ""aquaman"", spine is sorta worn, some wear on top staple, bottom left corner is dented and creased, bottom right corner is worn, weird creasing on top part of cover, good condition",B+,41.57,54.04
DC,45,Teen Titans,Teen Titans (mals fight),Near Mint,A,83.90,109.08
DC,44,Teen Titans,"Teen Titans (diabolical dr. light,into the guardian)",Near Mint,A,75.56,98.23
DC,441,Adventure Comics,Adventure Comics (aquaman),"top right corner is worn and creased, bottom right corner is wonr, good condition",B+,84.14,109.38
DC,46,Teen Titans,Teen Titans (fiddlers music),Near Mint,A,44.87,58.33
DC,47,Teen Titans,Teen Titans (two fire enimes),Near Mint,A,6.60,8.58
DC,49,Teen Titans,Teen Titans (Origin of Bumblebee),"top left corner dented and creased, bottom right corner is creased and frayed a bit, good condition",B+,37.23,48.40
DC,2,Tor,Tor (dino),"bottom rigth corner is creased, bottom left corner is crease, good condition",B+,71.28,92.67
DC,23,Mister Miracle,Mister Miracle (save your self),"bottom staples has some wear, good condition",B+,46.29,60.17
DC,239,Tarzan,Tarzan (drums of death),"bottom left corner is worn, bottom right corner is creased, top right corner is creased, top left corner is worn, spine is a bit worn, good condition",B+,89.97,116.96
DC,10,Claw the Unconquered,Claw The Unconquered (the eater of souls),Near Mint,A,1.83,2.37
DC,293,Superman,Superman (the miracle of thirsty Thursday),"spine has some coloring, bottom right corner is creased, good condition",B+,74.50,96.85
DC,2,Ragman,Ragman (Origin Issue),Near Mint,A,5.41,7.03
DC,28,DC Special,DC Special (batman and aquaman and the legion),Near Mint,A,94.19,122.44
DC,5,The Sandman,The Sandman (master of nightmares),"bottom left corner is worn, bottom right corner is creased, top right corner is dented and worn, good condition",B+,4.31,5.60
Marvel,30,Captain Marvel,Captain Marvel (The Controller),"Spine is worn, bottom left corner is creased and worn to hell, bottom right corner is creased and torn and worn, top right corner is creased and worn too, worn on cover as well, art is great, good condition",B+,17.04,22.15
DC,209,Tarzan,Tarzan (mate of the ape-man),"spine is worn, bottom left corner is worn, bottom right corner is creased, bottom part of cover is creased weirdly, top right corner is dented and worn, top eleft corner is detned and worn, good condition",B+,89.28,116.06
DC,5,Batman Family,Batman Family (dynamite duo),"spine is worn, bottom right corner is creased and dented, bottom left corner is worn, top right corner is detned , top left corner is worn, bottom staple is worn, okay condition",B,66.90,86.97
DC,292,Superman,"Superman (luthor nobody knows,Luthor Origin Retold)","some wear on spine, bottom left corner is worn, bottom right corner is creased, top left corner is dented, good condition",B+,78.43,101.96
